代码,细分行业,财报年度,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数
300224,元器件,2019Q3,20191018,20110531,8.2,0,0,37.41,26.57,0.44,27.79,27.42,5.32,1.27,9.77,6.51,4.98,12.42,12.59,10.11,0.79,0.32,0.79,0.8,0.84,0.8,5.55,0.59,0.69,49413,6405,5.82,45.97,8,2.8,125.82,5.92,0,0.102,3.24,0,1.51,0.68,0.07,71.02,3.16,19.67,6.3,6.67,0.87,1807
600722,化工原料,2019Q3,20191018,19960626,6.8,0,0,12.31,10,1.09,9.9,10.41,1.34,0.21,1.22,0.12,0.33,16.45,7.01,6.43,0.47,0,0.47,0.45,0.25,0.24,-14.2,1.25,1.07,45558,6564,3.07,-37.05,-6.76,3.18,25.52,4.54,0,0.036,1.47,0,2.42,-2.09,0.18,81.23,2.46,8.23,6.72,3.51,0,186
000514,区域地产,2019Q3,20191018,19930712,8.44,0,0,62.37,30.04,4.73,44.26,49.14,6.78,2.76,19.65,35.53,0.14,11.88,2,1.31,0.02,0.06,0.08,0.15,0.11,0.05,8.4,2.03,5.51,56752,5473,2.28,-4.66,-48.68,1.17,17.32,17.56,0,0.013,3.56,0,1.41,1,0.24,48.16,0.37,34.67,1.21,5.61,0,740
000404,专用机械,2019Q3,20191018,19960619,6.96,0,0,104.47,32.55,10.32,58.96,81.42,15.62,2.98,57.36,11.68,16.86,15.82,69.44,61.97,1.43,0.18,1.48,1.17,0.61,0.49,9.11,8.86,11.39,33889,13364,5.01,-2.37,2.76,0.8,2.95,0.38,0.51,0.088,4.68,0,2.27,1.31,1.27,31.16,1.88,10.76,2.06,0.88,2.16,7737
603199,旅游景点,2019Q3,20191018,20150326,1.11,0,0,14.13,11.89,0,15.81,4.86,7.1,0.96,2.02,0.09,0.2,3.33,4.17,2.02,1.44,0.07,1.44,1.07,1.07,1,6.69,1.53,0.56,11551,3662,8.03,33.6,14.96,2.04,15.9,5.82,0.74,0.969,10.75,0,3.01,6.05,1.38,84.19,9.01,51.63,34.41,25.7,0,1528
603377,汽车服务,2019Q3,20191018,20160205,5.88,0,0,42.06,17.11,3.66,50.63,12.72,8.75,8.14,14.87,7.91,0,5.62,8.55,4.02,1.99,0.02,2.8,2,1.91,1.42,5.28,4.29,-0.38,6460,30720,52.9,0.02,5.9,5.92,23.6,11.84,1.1,0.325,2.91,0,0.96,0.9,0.73,40.68,11.18,53,23.32,22.37,0.13,4640
002521,造纸,2019Q3,20191018,20101210,4.95,0,0,42.77,34.43,0,19.51,28.25,12.89,1.13,8.18,4.7,8.76,19.9,24.99,21.66,1.06,0.18,1.11,0.93,0.93,0.72,8.25,3.31,0.52,30016,12392,7.35,74.9,-12.19,0.85,8.86,1.17,0.81,0.187,6.96,0,4.02,1.67,0.67,80.49,2.69,13.31,4.26,3.7,0.83,1830
000619,其他建材,2019Q3,20191018,19961023,3.6,0,0,39.71,24.73,2.1,32.44,23.05,12.28,2.69,11.54,5.17,2.74,4.41,27.03,23.74,0.33,0.22,0.33,0.23,0.22,-0.16,14.02,0.35,-0.87,27425,8737,4.75,371.46,16.41,0.79,56.33,0.72,0,0.06,6.87,0,1.22,3.89,0.1,62.27,0.87,12.17,1.2,0.8,0.08,3622
002557,食品,2019Q3,20191018,20110302,5.07,0,0,47.63,34.53,0.01,27.5,30.4,10.85,2.62,12.58,4.33,1.48,15.67,32.19,21.45,4.54,0.44,4.99,4.02,4,3.17,11.32,8.88,-0.33,14216,17412,62.51,32.27,10.64,5.27,20.49,5.65,1.33,0.79,6.81,0,3.09,2.23,1.75,72.48,11.6,33.36,14.11,12.44,0.18,4756
000739,化学制药,2019Q3,20191018,19970509,11.79,0,0,63.23,36.46,0,42.34,37.72,18.87,3.34,24.85,8.69,11.22,4.34,54.15,36.81,5.19,0.04,5.16,4.32,4.32,4.27,19.22,10.83,0.02,35564,16496,23.92,57.87,15.99,4.69,15.77,3.16,0.72,0.366,3.09,0,0.37,1.63,0.92,57.66,11.84,32.02,9.58,7.97,2.76,5761
000799,白酒,2019Q3,20191018,19970718,3.25,0,0,29.5,23.15,0,21.52,21.85,4.64,2,6.23,9.05,0.07,11.61,9.68,2.17,2.45,0,2.46,1.84,1.84,1.83,6.02,1.79,3.04,67510,3321,12.29,14.26,27.34,5.2,67.38,12.43,0.39,0.566,7.12,0,3.57,1.85,0.55,78.48,7.95,77.58,25.31,19.01,0,1409
002136,化工原料,2019Q3,20191018,20070530,2.15,0,0,9.21,7.1,0.2,20.73,3.66,4.94,0.39,1.8,1.08,1.06,3.5,7.89,6.79,0.46,0,0.46,0.41,0.39,0.38,1.18,0.74,0.21,22493,6393,4.62,-40.87,-7.94,2.19,21.01,1.97,1.32,0.184,3.3,0,1.63,0.55,0.34,77.13,5.56,13.96,5.87,5,0.24,728
002455,化工原料,2019Q3,20191018,20100803,5.17,0,0,28.31,13.3,0,53.02,14.23,7.31,1.79,12.95,3.53,1.73,4.2,18.82,16.67,0.78,0.04,0.8,0.66,0.66,0.59,4.13,0.26,-3.48,24921,12753,6.96,-25.52,-15.7,2.12,108.63,1.5,1.69,0.128,2.57,0,0.81,0.8,0.05,46.98,4.96,11.43,4.14,3.51,0.38,864
002553,汽车配件,2019Q3,20191018,20110225,3.48,0,0,8.09,6.96,0,13.97,4.33,1.97,0.08,1.09,0.75,0.89,0.57,2.93,1.97,0.5,0.09,0.49,0.43,0.43,0.36,2.32,0.63,-0.53,23457,7278,3.65,-54.44,0.4,2.51,27.52,5.96,3.77,0.125,2,0,0.16,0.67,0.18,86.03,6.24,32.65,16.94,14.81,0.18,943
002124,饲料,2019Q3,20191018,20070403,11.6,0,0,68.05,23.93,0.21,64.53,23.79,25.72,1.06,38.61,9.39,1.3,9.87,44.54,39.8,1.22,2.19,0.44,0.14,0.12,-1.05,2,0.62,1.7,69043,11180,11.14,-90.12,40.12,4.83,185.78,2.59,0,0.01,2.06,0,0.85,0.17,0.05,35.17,0.5,10.64,2.73,0.27,0.71,4397
603026,化工原料,2019Q3,20191018,20150529,2.03,0,0,27.48,18.05,1.09,30.39,13.52,10.61,0.75,7.49,3.19,3.05,4.18,35.44,29.16,3.58,0.22,3.56,3.23,3.03,3.01,9.81,2.48,0.41,25560,5025,17.1,78.2,-7.68,3.82,27.85,1.95,1.64,1.494,8.9,0,2.06,4.84,1.22,65.66,16.78,17.71,10.1,8.54,1.09,1294
