代码,细分行业,财报年度,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数
000544,环境保护,2019Q3,20191026,19931208,9.75,0,0,103.33,57.86,3.84,40.3,34.16,29.81,17.62,14.24,0.45,3.27,38.69,11.1,6.73,2.97,0.07,2.97,2.62,2.57,2.49,6.93,6.17,5.33,37412,8148,5.15,-5.1,53.96,1.06,9.99,5.55,3.91,0.263,5.94,0,3.97,0.71,0.63,55.99,4.44,39.31,26.75,23.13,0.23,1246
600408,焦炭加工,2019Q3,20191026,20030212,10.07,0,0,57.13,16.47,0.02,71.14,25.41,26.58,1.76,35,4.04,14.6,14.52,71.76,65.96,2.1,0,1.58,1.54,1.54,1.98,-9.46,1.18,0.26,61368,11227,2.65,-73,12.5,1.44,20.06,0.33,0,0.153,1.64,0,1.44,-0.94,0.12,28.82,9.34,8.08,2.93,2.14,0,2480
002185,半导体,2019Q3,20191026,20071120,27.4,0,0,158.61,76.34,19.67,39.47,53.86,79.91,4.08,44.29,14.23,14.51,21.62,61.07,52.27,2.45,0.02,2.48,1.9,1.68,0.83,24.73,9.25,-9.31,132886,15234,14.33,-48.81,9.85,3.38,27.87,4.22,0.16,0.07,2.79,0,0.79,0.9,0.34,48.13,2.2,14.41,4.01,2.74,2.77,13167
601328,银行,2019Q3,20191026,20070515,742.63,0,350.12,99328.79,7753.37,74.87,92.12,0,1662.94,30.82,0,0,0,1136.63,1762.93,0,690.56,109.36,689.86,607.26,601.47,599.51,1606.64,638.66,-102.96,358617,67209,36.76,4.96,11.7,0.6,6.36,2.3,5.42,0.77,9.1,9.1,1.53,2.16,0.86,7.81,7.76,0,39.17,34.12,0,86425
603079,食品,2019Q3,20191026,20170823,1.12,0,0,15.12,8.81,0.34,39.49,7.44,3.23,1.77,3.56,1.78,1.01,4.31,3.74,2.45,0.5,0,0.49,0.41,0.45,0.39,2.48,0.24,1.22,5823,6270,22.91,-13.65,5.44,4.98,172.77,10.94,0.32,0.399,7.34,7.34,3.85,2.22,0.21,58.29,5.07,34.47,13.33,11.94,0.18,994
601518,路桥,2019Q3,20191026,20100319,13.5,0,0,66.11,36.09,3.26,40.48,10.06,55.39,0.14,5.23,0.01,0,6.26,5.47,2.23,1.88,0,1.88,1.39,1.41,1.42,14.24,3.35,4.86,59988,7114,1.83,-32.72,-12.2,0.96,10.35,6.35,0.73,0.105,2.67,0,0.46,1.05,0.25,54.59,3.91,59.24,34.43,25.82,0,971
000860,白酒,2019Q3,20191026,19981104,7.42,0,0,204.09,72.88,0.25,64.17,158.99,30.46,7.36,103.14,80.89,0.95,26.27,110.62,72,9.37,0.01,9.37,6.71,6.65,6.66,33.05,-2.3,6.88,32014,14261,74.73,23.93,20.19,5.33,-168.89,3.51,0.22,0.896,9.83,0,3.54,4.46,-0.31,35.71,9.12,34.91,8.47,6.01,0.12,5063
603232,软件服务,2019Q3,20191026,20170421,1.21,0,0,6.99,5.92,0.01,15.11,5.35,0.69,0.58,1.04,0.48,2.03,1.9,1.51,0.56,-0.13,0.12,-0.05,-0.06,-0.06,-0.23,2.5,-0.29,-0.03,8322,7043,28.91,-149.02,-2.77,8.4,-171.66,32.86,0.47,-0.045,4.88,0,1.57,2.07,-0.24,84.76,-0.93,62.92,-8.47,-3.64,0.38,425
000633,综合类,2019Q3,20191026,19961112,3.85,0,0,11.01,1.55,0.24,83.75,1.16,0.97,0.14,1.27,0.26,0.27,0.48,0.71,0.56,-0.13,0,-0.12,-0.12,-0.08,-0.1,-3.43,-0.52,-0.28,26271,9649,3.71,9.85,8.03,9.57,-28.55,20.82,0,-0.022,0.4,0,0.12,-0.89,-0.13,14.07,-5.38,21.88,-18.42,-11.71,0,246
300370,电器仪表,2019Q3,20191026,20140123,9.57,0,0,38.9,8.57,1.85,73.21,24.4,3.23,0.84,25.17,7.7,10.33,1.45,7.01,4.92,-0.03,-0.01,0,0.01,0.05,-0.06,-2.41,2.01,-1.01,54603,12715,4.77,159.16,-6.92,4.19,17.84,5.12,0,0.005,0.9,0,0.15,-0.25,0.21,22.03,0.59,29.85,-0.42,0.72,0.24,1450
300110,化学制药,2019Q3,20191026,20100825,11.82,0,0,27.42,21.7,0.75,18.1,13.03,11.89,1.16,4.61,1.76,6.04,5.28,10.91,4.62,0.41,0,0.37,0.28,0.26,0.27,4.03,1.8,-3.57,61381,10051,4.21,-8.43,8.4,2.28,27.57,4.54,0.7,0.022,1.84,0,0.45,0.34,0.15,79.15,1.18,57.64,3.8,2.34,0.42,2617
300185,工程机械,2019Q3,20191026,20110308,32.68,0,0,112.64,52.61,1.77,51.73,57.33,44.11,5.06,46.62,21.43,16.8,11.45,27.59,20.48,2.4,0,2.37,1.87,1.72,1.75,7.18,1.86,-1.35,122284,19395,3.45,10.24,6.88,1.11,31.27,2.11,1.1,0.053,1.61,0,0.35,0.22,0.06,46.7,3.28,25.78,8.69,6.24,0.34,3436
002141,元器件,2019Q3,20191026,20070720,11.35,0,0,18.56,14.22,0.61,20.13,4.07,2.17,0.45,3.29,1.38,1.8,1.82,7.12,6.22,-0.1,0.34,-0.1,-0.1,-0.09,-0.15,0.81,-0.34,-0.64,53660,8898,3.14,-215.58,-3.04,2.82,-116.43,5.63,0,-0.008,1.25,0,0.16,0.07,-0.03,76.59,-0.62,12.53,-1.44,-1.24,0.23,927
600510,全国地产,2019Q3,20191026,20020618,10.47,0,0,295.88,82.56,14.03,67.36,252.19,7.62,0.35,154.62,108.2,43.32,29.87,61.06,35.5,15.55,0.39,15.56,11.49,6.41,6.38,35.55,31.13,20.87,24639,13284,8.69,462.6,110.07,0.83,2.2,1.12,2.85,0.612,7.88,0,2.85,3.39,2.97,27.9,7.76,41.86,25.47,10.49,0.29,2942
601368,水务,2019Q3,20191026,20150612,8.83,0,0,121.57,41.37,0,65.97,26.55,50.31,5.87,23.06,0.87,1.8,15.24,11.1,6.61,2.41,0,2.42,2.03,2.03,1.86,14.78,5.84,11.22,38838,7935,4.48,-8.31,11.19,1.21,8.55,4.5,1.64,0.26,4.69,0,1.73,1.67,0.66,34.03,4.91,40.47,21.74,18.29,0,1509
603116,服饰,2019Q3,20191026,20150629,5.76,0,0,44.21,34.24,-0.08,22.75,32.68,6.01,0.61,10.04,7.25,8.11,8.12,21.94,14.99,1.31,0.3,1.49,1.12,1.14,0.72,20.99,0.63,-0.96,23507,9807,6.33,-51.04,-4.68,1.09,59.02,1.69,2.67,0.198,5.94,0,1.41,3.64,0.11,77.44,3.34,31.69,5.99,5.21,0.29,5420
603156,软饮料,2019Q3,20191026,20180212,10.55,0,0,127.77,114.58,0,10.32,105.6,6.02,1.27,11.98,5.21,0.31,29.21,48.81,23.5,21.55,2.02,21.6,17.31,17.31,13.82,71.54,-3.62,-30.04,27036,15931,45.64,-0.59,-15.21,2.64,-83.53,6.19,7.31,1.641,10.87,0,2.77,6.78,-0.34,89.68,15.1,51.85,44.14,35.45,0.19,2307
603297,电器仪表,2019Q3,20191026,20180910,1.09,0,0,12,10.9,0,9.15,8.45,1.42,0.58,0.96,1.1,1.29,5.13,4.07,2.4,1.17,0.16,1.17,1.01,1.01,0.85,4.02,0.7,0.49,11070,2803,10.06,8.14,-3.39,3.6,56.25,9.62,1.05,0.922,9.98,0,4.69,3.68,0.64,90.85,9.23,41.09,28.81,24.72,0.29,1298
600509,火力发电,2019Q3,20191026,20020228,11.51,0,0,206.22,62.94,6.83,66.17,40.67,138.05,1.3,45.94,11.2,6.89,39.92,33.96,28.9,-1.57,0.35,-1.76,-1.97,-2.19,-2.71,8.07,3.65,-3.61,59276,9474,3.2,-438.61,-2.91,0.62,10.65,1.15,0.46,-0.19,5.47,0,3.47,0.7,0.32,30.52,-3.48,14.9,-4.62,-6.45,0.03,3777
600300,软饮料,2019Q3,20191026,20000630,16.72,0,0,82.46,26.72,2.81,64.19,44.75,24.64,6.72,49.91,15.7,1.89,2.18,37.99,30.16,1.12,-0.02,1.18,0.82,0.93,0.28,7.47,-2.36,0.41,91364,11132,3.27,-5.49,1.91,1.84,-20.81,1.29,0,0.056,1.6,0,0.13,0.45,-0.14,32.41,3.47,20.62,2.95,2.44,0.04,2030
600889,化纤,2019Q3,20191026,19960308,3.66,0,0,19.54,14.9,0.1,23.21,11.22,7.01,0.28,3.23,2.1,0.29,5.38,5.11,4.61,-0.61,0.23,-0.44,-0.23,-0.24,-0.64,3.45,-1.3,-1.26,23858,7924,3.63,71.38,-29.96,1.13,-12.92,3.28,0.21,-0.066,4.07,0,1.47,0.94,-0.35,76.27,-1.62,9.92,-11.88,-4.73,0.02,1974
002544,软件服务,2019Q3,20191026,20110128,5.71,0,0,73.32,21.02,0.91,70.09,62.45,6.62,1.94,50.42,13.42,34.12,6.17,35.23,28.47,0.75,-0.01,0.74,0.6,0.54,0.49,8.17,-7.42,-7.6,33015,9103,12.59,28.88,6.14,3.76,-10.65,2.24,0.21,0.095,3.68,0,1.08,1.43,-1.3,28.67,2.57,19.21,2.13,1.53,1.65,6426
300750,电气设备,2019Q3,20191026,20180611,22.08,0,0,963.11,369.44,35.46,57.96,686.89,168.86,15.19,438.64,100.05,97.01,215.22,328.56,233.01,44.46,-0.63,44.58,37.6,34.64,29.65,126.68,103.25,193.58,94339,9511,124.18,45.65,71.7,7.81,27.93,8.78,0.11,1.6,16.73,0,9.75,5.74,4.68,38.36,9.38,29.08,13.53,10.54,22.56,24875
603018,建筑工程,2019Q3,20191026,20141013,4.64,0,0,70.13,26.43,0.67,61.36,59.35,3.99,0.51,42.91,6.35,40.98,6.68,27.45,18.69,3.5,0.2,3.5,2.99,2.92,2.6,14.42,-3.53,-4.06,15754,29197,29.52,20.49,4.07,1.78,-13.29,1.71,2.48,0.64,5.69,0,1.44,3.11,-0.76,37.69,11.04,31.92,12.76,10.63,1.18,4520
002543,家用电器,2019Q3,20191026,20110128,7.44,0,0,66.69,34.8,1.75,45.2,34.92,11.49,3.14,29.44,10.38,7.44,9.4,47.94,31.67,5.42,0.51,5.48,4.54,4.46,3.85,15.97,9.06,1.15,15177,12166,11.13,20.93,-9.41,1.96,7.51,1.42,3.52,0.599,4.68,0,1.26,2.15,1.22,52.17,12.81,33.94,11.31,9.3,1.67,5449
002225,其他建材,2019Q3,20191026,20080425,10.34,0,0,58.08,27.87,1.39,49.62,41.38,6.16,3.25,28.21,11.42,14.28,9.08,31.24,22,2.38,0.02,2.34,2.13,2.03,2.01,7.51,2.47,1.94,40305,12992,5.34,21.6,9.57,1.52,17.2,1.36,1.43,0.22,2.7,0,0.88,0.73,0.24,47.98,7.3,29.59,7.61,6.51,1.5,4165
600616,红黄酒,2019Q3,20191026,19920929,5.15,0,0,22.06,19.5,-0.11,12.12,14.47,5.44,1.04,2.04,7.6,0.89,5.3,5.7,3.08,0.24,0.08,0.24,0.18,0.19,0.15,8.36,0.05,0.33,34281,9609,4.6,-30.57,-1.83,1.26,517.35,4.32,0,0.036,3.79,0,1.03,1.62,0.01,88.37,0.96,45.98,4.25,3.28,0.03,1098
600084,红黄酒,2019Q3,20191026,19970711,11.24,0,0,22.72,21.88,-0.11,4.2,16.84,1.84,1.13,0.9,14.16,0.46,26.8,1.65,0.82,-0.02,0.11,0.02,0.02,0.01,-0.06,-16.99,-0.04,-4.74,61221,10108,2.56,101.67,-41.78,1.3,-657.88,17.22,0,0.001,1.95,0,2.38,-1.51,0,96.3,0.06,50.2,-1.41,0.85,0,589
300295,互联网,2019Q3,20191026,20120315,1.93,0,0,23.83,12.23,0.9,44.88,20.98,0.07,0.04,10.26,0,0.61,2.86,3.74,0.19,0.96,0.03,1.03,0.82,0.76,0.6,6.83,3,1.98,27443,4562,6.06,-9.07,3.77,2.09,8.52,6.85,0.8,0.395,6.35,0,1.49,3.55,1.56,51.33,6.22,94.86,25.59,20.36,0.21,993
002202,电气设备,2019Q3,20191026,20071226,42.25,0,7.74,1030.47,298.25,15.53,69.55,475.93,194.6,34.83,442.33,100.72,196.17,120.84,247.35,197.22,18.39,9.9,18.58,16.06,15.91,14.29,108.03,4.16,15.57,115045,15557,18.31,-34.24,38.84,1.79,119.66,2.01,2.07,0.37,6.59,6.59,2.86,2.56,0.1,28.94,5.33,20.27,7.43,6.43,6.09,8753
600187,水务,2019Q3,20191026,19981111,16.54,0,0,47.54,34.11,0.74,26.7,22.32,4.5,7.55,9.27,1.87,2.93,20.63,2.84,1.89,0.17,0.38,0.32,0.23,0.26,-0.37,-2.18,-0.13,-6.07,125085,9820,2.45,177.45,-3.35,1.21,-320.7,14.52,0,0.016,2.06,0,1.25,-0.13,-0.01,71.75,0.77,33.25,6.12,9.29,0.04,878
002918,其他建材,2019Q3,20191026,20171219,4.02,0,0,50.47,27.75,0,45.01,39.35,4.75,1.95,21.66,9.86,6.07,11.79,26.76,16.93,3.67,0.05,3.67,3.04,3.04,2.72,10.97,8.58,5.31,17623,7008,13.76,13.45,17.44,2.85,9.21,2.95,1.02,0.755,6.9,0,2.93,2.73,2.13,54.99,10.94,36.72,13.7,11.35,1.04,3442
300003,医疗保健,2019Q3,20191026,20091030,17.82,0,0,162.31,74.62,4.26,51.4,61.29,14.72,17.64,45.52,9.53,22.95,0.64,58.8,16.09,18.33,0.37,19.05,16.16,16.12,13.29,53.64,12.81,-2.27,48643,21836,69.68,40.99,28.25,7.62,44.39,9.67,0.5,0.91,4.19,0,0.04,3.01,0.72,45.97,21.61,72.64,31.18,27.42,3.57,7689
600188,煤炭开采,2019Q3,20191026,19980701,49.12,0,19.52,1975.73,665.1,169.63,57.75,636.05,415.63,454.07,591.5,73.95,46.1,11.33,1506.11,1299.52,109.13,13.5,111.44,89.89,69.84,66.49,473.96,148.33,-77.58,70981,9759,9.45,26.88,26.36,0.84,3.21,0.32,15.46,1.422,11.47,11.47,0.23,9.65,3.02,33.66,10.5,13.72,7.25,4.64,1.34,64473
300320,橡胶,2019Q3,20191026,20120601,6.01,0,0,27.66,16.19,0.37,40.12,18.22,3.66,0.93,9.82,3.53,9.98,3.63,15.92,11.66,1.86,0,1.85,1.58,1.54,1.53,5.81,0.8,-0.35,17282,21995,11.88,25.93,1.62,2.01,40.55,2.04,1.01,0.256,2.69,0,0.6,0.97,0.13,58.53,9.49,26.77,11.65,9.65,0.65,2002
603656,专用机械,2019Q3,20191026,20170321,1.49,0,0,10.25,9.18,0.08,9.66,8.34,1,0.41,0.86,0.89,1.03,3.26,2.78,1.28,0.46,0.12,0.6,0.5,0.52,0.29,3.92,0.2,-1.6,8332,7601,10.98,-21.51,-8.9,2.34,106.86,7.73,0.74,0.346,6.16,0,2.19,2.63,0.14,89.53,5.61,53.91,16.61,18.52,0.35,845
603606,电气设备,2019Q3,20191026,20141015,6.54,0,0,38.92,19.8,0.04,49.03,31.06,4.75,2.09,18.59,6.29,15.57,4.7,25.68,19.27,3.57,0,3.52,3.02,3.02,2.99,7.73,0.02,-5.02,29569,11376,13.58,162.31,17.32,3.95,3835.77,3.04,0.66,0.462,3.03,0,0.72,1.18,0,50.87,15.27,24.98,13.89,11.77,0.89,912
600209,综合类,2019Q3,20191026,19990325,4.39,0,0,7.46,5.82,0.34,17.5,3.45,1.23,0.1,1.31,0.46,0.43,0.97,0.63,0.59,-0.28,-0.01,-0.28,-0.28,-0.21,-0.21,0.05,-0.22,-0.3,31662,10478,3.42,22.11,11.92,2.46,-64.44,22.7,0.17,-0.048,1.33,0,0.22,0.01,-0.05,77.95,-3.6,6.81,-44.58,-33.24,0,296
603015,电气设备,2019Q3,20191026,20150303,4.07,0,0,16.16,11.95,0.03,25.91,10.48,2.39,2.29,2.87,2.9,2.1,4.78,4.22,2.64,0.15,-0.01,0.16,0.1,0.16,0.07,2.57,0.85,-1.28,25314,6593,3.96,-69.88,-24.07,2.04,28.6,5.78,1.94,0.039,2.93,0,1.17,0.63,0.21,73.93,1.33,37.57,3.45,3.77,0.49,752
000510,化工原料,2019Q3,20191026,19930507,6.09,0,0,14.92,9.79,0.62,30.23,4.04,8.11,0.62,4.26,1.34,0.26,0.25,17.23,14.93,0.58,-0.01,0.56,0.51,0.47,0.47,2.26,0.1,0.2,51388,9351,3.82,-44.8,6.18,2.54,238.52,1.45,0,0.077,1.61,0,0.04,0.37,0.02,65.61,4.76,13.31,3.38,2.71,0.03,2495
600178,汽车配件,2019Q3,20191026,19981014,4.62,0,0,37.06,18.8,0,49.26,14.93,5.45,0.34,17.51,2.31,3.08,8.61,12.68,11.12,0.07,0.04,0.08,0.08,0.08,-0.09,3.07,-0.01,-0.47,38266,5866,2.76,-87.76,33.15,1.16,-4153.43,1.72,0,0.018,4.07,0,1.86,0.66,0,50.74,0.43,12.3,0.59,0.64,0.16,2389
000888,旅游景点,2019Q3,20191026,19971021,5.27,0,0,30.28,24.95,0.13,17.16,14.1,13,1.58,3.05,0.4,0.34,4.27,8.73,4.96,2.21,-0.02,2.21,1.86,1.86,1.82,13.28,3.43,2.5,36860,8634,5.42,10.34,3.04,1.33,9.65,3.79,1.54,0.354,4.74,0,0.81,2.52,0.65,82.41,7.47,43.21,25.28,21.34,0,2015
300717,塑料,2019Q3,20191026,20171106,1.02,0,0,6.32,5.71,0,9.58,3.09,2.26,0.26,0.44,0.45,1.3,2.38,2.28,1.62,0.42,0.01,0.45,0.38,0.38,0.32,2.08,0.37,-0.29,10601,3396,5.29,6.6,2.51,2.8,43.5,6.99,0.37,0.369,5.58,0,2.32,2.03,0.36,90.42,6.61,29.16,18.36,16.53,0.08,397
600897,机场,2019Q3,20191026,19960531,2.98,0,0,44.44,36.17,2.19,13.68,12.91,27.53,1.28,5.9,0,2.74,1.81,13.4,7.49,5.47,0.2,5.49,4.13,3.98,3.8,26.48,5.33,-0.06,18863,5053,10.68,4.72,0.99,1.74,11.81,4.7,5.87,1.335,12.15,0,0.61,8.89,1.79,81.4,10.99,44.15,40.8,29.67,0,3287
603105,电气设备,2019Q3,20191026,20180709,5,0,0,25.82,14.54,0,43.67,7.02,17.95,0.2,6.24,1.14,1.97,7.15,2.86,1.43,0.34,0.01,0.43,0.45,0.45,0.32,2.11,1.13,-0.16,47576,5010,3.41,-37.29,-8.9,2.34,30.15,11.92,1.42,0.09,2.91,0,1.43,0.42,0.23,56.33,3.1,49.81,11.99,15.78,0.11,334
000488,造纸,2019Q3,20191026,20001120,29.05,7.06,5.28,1041.18,244.85,6.97,75.81,493.53,297.7,18.05,607.02,48.04,35.69,50.91,220.14,160.38,11.52,1.66,14.04,11.18,10.68,7.51,87.94,64.99,3.92,127898,14993,7.42,-56.97,-6.29,0.84,2.21,0.65,4.7,0.15,5.86,5.86,1.75,3.03,2.24,23.52,4.36,27.15,5.23,4.85,7.06,15191
000906,批发业,2019Q3,20191026,19990707,6.75,0,0,176.59,31.03,1.77,81.42,163.89,3.37,1.28,142.58,44.9,40.59,6.28,494.18,482.54,5.63,1.82,5.64,4.31,3.95,2.58,10.12,-32.77,-0.84,21901,14134,8.24,89.51,7.95,1.67,-1.2,0.08,2.49,0.54,3.49,3.49,0.93,1.5,-4.86,17.57,12.74,2.36,1.14,0.8,0,1769
300380,软件服务,2019Q3,20191026,20140128,1.37,0,0,6.27,4.34,0.22,27.27,5.17,0.24,0.01,1.71,1.99,1.91,1.43,3.85,2.32,0.12,-0.01,0.13,0.1,0.17,0.16,1.28,-1.36,-1.66,22042,2944,6.04,25.58,14.59,6.5,-20.73,7.32,0.47,0.123,3.15,0,1.04,0.93,-0.99,69.18,3.9,39.63,3.01,4.39,0.76,2400
300362,环境保护,2019Q3,20191026,20140121,4.37,0,0,48.31,-8.08,0.31,116.08,32.63,5.77,3.78,49.21,4.38,3.16,12.14,1.87,1.95,-8.39,0.01,-9.41,-9.4,-9.32,-7.62,-23.77,-0.34,-0.11,24056,8650,2.05,-284.23,-40.49,-1.28,-30.85,5.52,0,-2.2,-1.85,0,2.78,-5.44,-0.08,-16.72,-- ,-4.08,-447.69,-497.35,0,891
603041,化工原料,2019Q3,20191026,20170330,1.01,0,0,8.56,7.79,0,9,6.44,1.55,0.24,0.7,0.34,0.69,3.24,2.54,1.55,0.66,0.04,0.66,0.56,0.56,0.45,3.22,0.64,0.32,8747,3672,6.39,77.3,10.19,2.25,27.35,6.88,0.73,0.56,7.74,0,3.22,3.2,0.64,91,7.15,38.97,25.81,21.88,0.15,118
600719,供气供热,2019Q3,20191026,19960716,4.05,0,0,20.94,7.03,0,66.41,5.55,7.89,0.01,11.36,0.74,0.21,1.02,5,4.23,-0.23,0,-0.25,-0.23,-0.23,-0.21,0.28,-0.5,-0.27,20510,13236,5.63,32.24,1.27,2.44,-34.59,3.44,0.11,-0.057,1.74,0,0.25,0.07,-0.12,33.59,-3.27,15.29,-4.62,-4.6,0,807
300741,食品,2019Q3,20191026,20180301,6.16,0,0,78.66,73.73,1.17,4.78,61.55,2.99,0.64,3.74,4.23,5.05,46.08,14.98,3.59,9.82,0.11,9.8,8.5,8.33,7.47,18.01,8.02,-20.12,30653,3780,11.47,6.16,2.01,2.53,23.28,12.47,12.73,1.353,11.97,0,7.48,2.92,1.3,93.73,11.3,76.04,65.57,55.63,1.17,1008
000055,其他建材,2019Q3,20191026,19960415,11.23,4.44,0,108.88,50.51,0.5,53.14,44.81,4.73,0.79,41.27,8.26,21.36,0.01,21.25,16.29,1.66,0.06,1.71,1.56,1.56,1.29,38.69,-4.08,-5.75,70369,13954,6.21,-51.46,-4.93,0.99,-12.24,2.35,4.34,0.139,4.5,0,0,3.44,-0.36,46.39,3.09,23.37,7.83,7.34,0.35,2206
000915,化学制药,2019Q3,20191026,19990609,2.34,0,0,30.87,16.82,8.61,17.61,17.52,6.93,1.61,4.67,1.46,2.5,0.62,13.15,5.08,3.22,0.08,3.2,2.73,1.54,1.51,13.03,0.97,-5.2,17354,10654,27.07,7.82,2.8,3.54,61.68,4.53,1.14,0.659,7.18,0,0.27,5.56,0.41,54.49,9.19,61.36,24.46,11.75,0.42,2878
600784,普钢,2019Q3,20191026,19961225,5.68,0,0,53.35,15.27,0.54,70.37,21.94,14.36,2.78,32.92,3.1,7.96,5.78,14.24,11.01,0.2,0.88,0.27,0.22,0.22,-0.24,2.61,-0.05,0.7,40117,10802,5.28,-66.76,1.2,1.82,-588.08,1.95,0.24,0.038,2.69,0,1.02,0.46,-0.01,28.62,1.42,22.73,1.43,1.52,0.19,1943
601799,汽车配件,2019Q3,20191026,20110201,2.76,0,0,78.12,46.27,0,40.77,58.84,11.67,3.64,29.45,12.99,8.97,26.59,41.05,31.31,6.16,-0.01,6.16,5.31,5.31,4.96,15.11,5.7,-0.58,5296,22361,220.26,20.96,10.22,5.88,47.7,6.63,0.97,1.924,16.76,0,9.63,5.47,2.07,59.23,11.48,23.72,15.02,12.94,1.5,5642
600559,白酒,2019Q3,20191026,20021029,8.97,0,0,55.78,31.56,0.05,43.33,29.12,8.94,7.09,22.56,15.82,0.34,12.82,28.22,10.64,3.18,0.14,3.27,2.71,2.71,2.44,8.64,-0.28,-1.25,79478,7207,7.77,11.16,16.09,3.06,-350.16,3.43,1.38,0.302,3.52,0,1.43,0.96,-0.03,56.58,8.6,62.3,11.28,9.62,0.08,5724
300084,石油开采,2019Q3,20191026,20100520,3.85,0,0,32.67,18.37,0.2,43.14,16.43,2.77,1.18,10.02,5.36,5.83,12.21,3.2,2.13,-0.46,0.01,-0.46,-0.48,-0.47,-0.54,1.69,-0.77,0.86,24823,11600,4.99,-93.51,-1.74,0.9,-21.56,5.17,0,-0.122,4.78,0,3.17,0.44,-0.2,56.24,-2.54,33.41,-14.34,-14.61,0.16,1038
600125,铁路,2019Q3,20191026,19980511,13.06,0,0,97.5,59.05,0.23,39.2,49.94,37.67,3.83,22.81,27.22,2.8,1.58,120.79,112.91,5.32,0.06,5.31,3.88,3.88,3.73,38.31,4.31,-2.29,104103,8778,4.92,-4.85,0.31,1.24,17.01,0.61,2.06,0.298,4.52,0,0.12,2.93,0.33,60.56,6.58,6.53,4.4,3.22,0.02,2154
002882,电气设备,2019Q3,20191026,20170717,4.33,0,0,26.08,17.95,0,31.16,22.07,2.05,0.52,8.05,6.99,10.85,6.14,28.81,24.06,2.95,0,2.95,2.27,2.27,2.24,6.98,-2.98,-2.65,22857,3773,3.91,19.49,19.18,2.5,-15.02,1.55,1.4,0.524,4.15,0,1.42,1.61,-0.69,68.84,12.63,16.49,10.23,7.87,0.05,1063
002921,汽车配件,2019Q3,20191026,20171227,0.8,0,0,11.65,6.77,0.01,41.82,5.44,4.4,0.7,3.8,2.41,1.5,4.2,5.35,4.05,0.38,0,0.38,0.33,0.34,0.26,1.81,0.15,0.01,11518,3023,5.35,-14.41,9.2,2.09,95.2,2.65,0.82,0.422,8.46,0,5.25,2.26,0.19,58.13,4.99,24.29,7.09,6.31,0.15,1799
600356,造纸,2019Q3,20191026,20010419,2.99,0,0,30.35,21.68,0.2,27.91,16.2,8.77,2.88,7.51,4.95,4.62,9.26,12.68,9.52,1.05,0,1.05,0.78,0.78,0.73,7.74,0.96,0.51,18484,10892,7.97,42.7,10.38,1.01,22.68,1.72,0.89,0.262,7.26,0,3.1,2.59,0.32,71.44,3.61,24.88,8.27,6.17,0.37,1984
600476,软件服务,2019Q3,20191026,20031210,1.61,0,0,4.68,2.08,0,55.61,3.92,0.36,0.02,2.4,0.91,1.46,1.36,2.24,2.16,-0.23,0.01,-0.24,-0.24,-0.24,-0.26,-1.32,-0.18,-0.35,29299,3335,4.67,-118.63,31.55,10.86,-123.79,10.07,0,-0.148,1.29,0,0.84,-0.82,-0.11,44.39,-11.46,3.53,-10.38,-10.62,0.02,387
002470,农药化肥,2019Q3,20191026,20100908,32.86,0,0,222.81,109.44,19.9,41.95,131.12,52.83,9.93,79.21,43.48,12.61,18.68,111.33,86.52,5.42,0.1,5.47,4.36,4.85,4.45,52.7,-4.6,-14.63,66123,22669,5.8,-49.15,-47.62,0.77,-18.29,0.76,0,0.148,3.33,0,0.57,1.6,-0.14,49.12,4.43,22.29,4.87,4.36,2.17,9110
603757,专用机械,2019Q3,20191026,20170711,1.64,0,0,13.93,10.91,0,21.71,10.51,3.05,0.23,2.83,1.65,2.04,4.12,8.43,5.84,1.56,0.06,1.56,1.36,1.36,1.23,4.87,2.08,-0.35,8233,5952,9.18,-3.3,-0.98,2.32,12.16,3,2.01,0.829,6.64,0,2.51,2.96,1.27,78.29,12.48,30.68,18.48,16.15,0.32,1581
600803,农药化肥,2019Q3,20191026,19940103,12.29,0,0,255.05,93.05,7.86,60.44,85.39,72.85,10.08,82.71,19.92,15.83,17.94,97.37,79.03,10.71,5.32,12.05,10.66,10.76,8.42,60.65,4.7,18.56,43456,11323,11.71,3.96,-0.61,1.37,27.04,1.31,1.92,0.875,7.57,0,1.46,4.93,0.38,36.48,11.56,18.84,10.99,11.05,1.03,5250
300762,通信设备,2019Q3,20191026,20190314,1.33,0,0,14.95,11.44,0.02,23.37,14.62,0.07,0.11,3.39,1.96,7.67,7.33,2.83,1.04,0.44,0.02,0.44,0.4,0.41,0.33,2.52,-1.69,0.33,19080,1748,9.38,0,0,6.25,-42.36,25.28,0,0.307,8.58,0,5.5,1.89,-1.27,76.52,3.57,63.13,15.45,14.46,0.69,314
